,date,hour_of_day,S_wait_time,SE_wait_time
12896,2017-11-17,13.0,44.44,8.33
12897,2017-11-17,14.0,50.0,10.5
12898,2017-11-17,15.0,43.33,10.56
12899,2017-11-17,16.0,36.67,6.11
12900,2017-11-17,17.0,28.89,5.0
12901,2017-11-17,18.0,35.0,5.0
12902,2017-11-17,19.0,37.0,7.5
12903,2017-11-17,20.0,20.56,6.11
12905,2017-11-18,9.0,20.45,16.43
12906,2017-11-18,10.0,57.5,12.5
12907,2017-11-18,11.0,48.0,27.78
12908,2017-11-18,12.0,40.56,39.44
12909,2017-11-18,13.0,45.0,17.22
12910,2017-11-18,14.0,40.56,20.56
12911,2017-11-18,15.0,50.56,23.89
12912,2017-11-18,16.0,47.78,20.0
12913,2017-11-18,17.0,38.89,7.78
12914,2017-11-18,18.0,48.0,20.0
12915,2017-11-18,19.0,46.67,25.0
12916,2017-11-18,20.0,30.0,17.22
12919,2017-11-19,9.0,49.38,21.25
12920,2017-11-19,10.0,138.0,30.0
12921,2017-11-19,11.0,145.56,45.0
12922,2017-11-19,12.0,92.22,35.0
12923,2017-11-19,13.0,116.67,43.33
12924,2017-11-19,14.0,170.0,33.33
12925,2017-11-19,15.0,141.25,25.0
12926,2017-11-19,16.0,68.0,35.0
12927,2017-11-19,17.0,62.78,42.22
12928,2017-11-19,18.0,67.78,26.11
12929,2017-11-19,19.0,52.78,27.22
12930,2017-11-19,20.0,52.0,7.78
12933,2017-11-20,9.0,73.12,19.58
12934,2017-11-20,10.0,132.78,51.0
12935,2017-11-20,11.0,93.64,62.22
12936,2017-11-20,12.0,131.11,43.89
12937,2017-11-20,13.0,145.56,43.0
12938,2017-11-20,14.0,119.0,35.5
12939,2017-11-20,15.0,114.44,38.33
12940,2017-11-20,16.0,80.62,45.0
12941,2017-11-20,17.0,74.5,42.5
12942,2017-11-20,18.0,89.44,33.89
12943,2017-11-20,19.0,69.44,25.0
12944,2017-11-20,20.0,32.78,23.33
12947,2017-11-21,9.0,60.0,20.0
12948,2017-11-21,10.0,95.0,44.44
12949,2017-11-21,11.0,100.0,56.67
12950,2017-11-21,12.0,111.25,53.12
12951,2017-11-21,13.0,139.0,57.78
12952,2017-11-21,14.0,119.55,44.55
12953,2017-11-21,15.0,105.0,50.56
12954,2017-11-21,16.0,90.5,38.33
12955,2017-11-21,17.0,72.22,38.0
12956,2017-11-21,18.0,70.0,48.12
12957,2017-11-21,19.0,63.0,31.5
12958,2017-11-21,20.0,52.5,30.0
12962,2017-11-22,9.0,61.92,20.91
12963,2017-11-22,10.0,102.5,40.0
12964,2017-11-22,11.0,107.0,61.25
12965,2017-11-22,12.0,100.56,47.5
12966,2017-11-22,13.0,76.36,30.0
12967,2017-11-22,14.0,89.58,31.67
12968,2017-11-22,15.0,96.11,30.0
12969,2017-11-22,16.0,115.5,28.64
12970,2017-11-22,17.0,64.38,36.25
12971,2017-11-22,18.0,95.5,22.78
12972,2017-11-22,19.0,66.0,18.5
12973,2017-11-22,20.0,50.0,11.67
12976,2017-11-23,9.0,60.0,18.89
12977,2017-11-23,10.0,66.11,45.56
12978,2017-11-23,11.0,71.11,52.78
12979,2017-11-23,12.0,88.75,37.5
12980,2017-11-23,13.0,86.0,53.0
12981,2017-11-23,14.0,84.38,22.5
12982,2017-11-23,15.0,87.0,39.0
12983,2017-11-23,16.0,77.22,29.44
12984,2017-11-23,17.0,62.22,28.33
12985,2017-11-23,18.0,57.22,22.78
12986,2017-11-23,19.0,47.78,22.22
12987,2017-11-23,20.0,41.11,13.33
12990,2017-11-24,9.0,39.67,21.25
12991,2017-11-24,10.0,70.91,23.18
12992,2017-11-24,11.0,83.64,43.18
12993,2017-11-24,12.0,98.33,63.89
12994,2017-11-24,13.0,86.0,24.0
12995,2017-11-24,14.0,84.44,25.5
12996,2017-11-24,15.0,95.56,28.33
12997,2017-11-24,16.0,75.5,36.11
12998,2017-11-24,17.0,79.44,20.0
12999,2017-11-24,18.0,82.5,23.0
13000,2017-11-24,19.0,75.0,23.12
13001,2017-11-24,20.0,63.5,18.33
13004,2017-11-25,9.0,36.88,19.38
13005,2017-11-25,10.0,86.82,25.45
13006,2017-11-25,11.0,70.0,43.33
13007,2017-11-25,12.0,72.22,30.0
13008,2017-11-25,13.0,89.5,36.0
13009,2017-11-25,14.0,61.25,19.38
13010,2017-11-25,15.0,58.0,29.5
13011,2017-11-25,16.0,74.44,18.89
13012,2017-11-25,17.0,102.22,19.5
13013,2017-11-25,18.0,115.0,21.11
13014,2017-11-25,19.0,59.0,20.0
13015,2017-11-25,20.0,42.22,19.29
13018,2017-11-26,9.0,34.0,14.44
13019,2017-11-26,10.0,55.0,30.62
13020,2017-11-26,11.0,61.36,25.0
13021,2017-11-26,12.0,53.5,26.67
13022,2017-11-26,13.0,50.0,22.27
13023,2017-11-26,14.0,52.5,19.5
13024,2017-11-26,15.0,54.44,11.0
13025,2017-11-26,16.0,39.0,19.44
13026,2017-11-26,17.0,39.55,8.89
13027,2017-11-26,18.0,40.0,7.5
13028,2017-11-26,19.0,44.0,13.0
13029,2017-11-26,20.0,40.0,7.5
13032,2017-11-27,9.0,33.18,17.5
13033,2017-11-27,10.0,60.62,30.56
13034,2017-11-27,11.0,63.5,39.58
13035,2017-11-27,12.0,44.38,31.88
13036,2017-11-27,13.0,42.0,32.0
13037,2017-11-27,14.0,42.0,16.11
13038,2017-11-27,15.0,32.22,16.0
13039,2017-11-27,16.0,33.0,10.56
13040,2017-11-27,17.0,30.56,5.56
13041,2017-11-27,18.0,22.22,5.0
13042,2017-11-27,19.0,20.0,5.0
13043,2017-11-27,20.0,15.0,5.0
13046,2017-11-28,9.0,31.25,17.5
13047,2017-11-28,10.0,53.64,30.45
13048,2017-11-28,11.0,57.5,31.88
13049,2017-11-28,12.0,68.0,39.0
13050,2017-11-28,13.0,42.5,26.88
13051,2017-11-28,14.0,40.5,15.0
13052,2017-11-28,15.0,38.89,23.0
13053,2017-11-28,16.0,38.33,12.78
13054,2017-11-28,17.0,40.0,10.56
13055,2017-11-28,18.0,34.38,5.62
13056,2017-11-28,19.0,30.5,5.0
13057,2017-11-28,20.0,39.55,7.0
13062,2017-11-29,9.0,18.0,16.25
13063,2017-11-29,10.0,36.82,20.91
13064,2017-11-29,11.0,41.0,26.36
13065,2017-11-29,12.0,45.0,14.44
13066,2017-11-29,13.0,45.56,15.56
13067,2017-11-29,14.0,38.89,11.25
13068,2017-11-29,15.0,32.5,11.5
13069,2017-11-29,16.0,30.0,6.25
13070,2017-11-29,17.0,18.33,5.0
13071,2017-11-29,18.0,14.0,5.5
13072,2017-11-29,19.0,15.0,5.0
13073,2017-11-29,20.0,10.56,5.0
13077,2017-11-30,9.0,37.14,17.22
13078,2017-11-30,10.0,48.5,32.22
13079,2017-11-30,11.0,55.0,38.5
13080,2017-11-30,12.0,40.0,25.0
13081,2017-11-30,13.0,43.5,18.0
13082,2017-11-30,14.0,52.22,18.5
13083,2017-11-30,15.0,45.0,16.0
13084,2017-11-30,16.0,39.55,10.56
13085,2017-11-30,17.0,42.73,9.44
13086,2017-11-30,18.0,50.0,10.0
13087,2017-11-30,19.0,45.0,10.0
13088,2017-11-30,20.0,28.33,5.0
13091,2017-12-01,9.0,25.0,17.22
13092,2017-12-01,10.0,43.5,17.0
13093,2017-12-01,11.0,48.0,31.11
13094,2017-12-01,12.0,55.5,38.5
13095,2017-12-01,13.0,49.44,19.44
13096,2017-12-01,14.0,42.78,12.5
13097,2017-12-01,15.0,46.88,12.5
13098,2017-12-01,16.0,40.42,11.0
13099,2017-12-01,17.0,36.5,6.11
13100,2017-12-01,18.0,39.29,5.56
13101,2017-12-01,19.0,40.45,10.45
13102,2017-12-01,20.0,37.5,8.33
13104,2017-12-02,9.0,26.0,17.5
13105,2017-12-02,10.0,40.56,22.78
13106,2017-12-02,11.0,52.5,40.5
13107,2017-12-02,12.0,41.0,21.67
13108,2017-12-02,13.0,45.5,19.44
13109,2017-12-02,14.0,42.22,17.5
13110,2017-12-02,15.0,45.0,25.56
13111,2017-12-02,16.0,34.44,15.0
13112,2017-12-02,17.0,39.38,22.78
13113,2017-12-02,18.0,43.64,10.0
13114,2017-12-02,19.0,39.44,10.0
13115,2017-12-02,20.0,39.44,9.44
13118,2017-12-03,9.0,23.75,17.22
13119,2017-12-03,10.0,50.0,25.0
13120,2017-12-03,11.0,52.5,37.5
13121,2017-12-03,12.0,45.0,27.78
13122,2017-12-03,13.0,45.56,20.0
13123,2017-12-03,14.0,38.89,15.56
13124,2017-12-03,15.0,43.33,19.44
13125,2017-12-03,16.0,42.0,17.5
13126,2017-12-03,17.0,37.73,12.5
13127,2017-12-03,18.0,49.38,7.5
13128,2017-12-03,19.0,37.73,12.0
13129,2017-12-03,20.0,25.56,5.0
13132,2017-12-04,9.0,20.42,16.67
13133,2017-12-04,10.0,47.92,25.62
13134,2017-12-04,11.0,50.0,34.55
13135,2017-12-04,12.0,40.0,27.78
13136,2017-12-04,13.0,46.11,27.78
13137,2017-12-04,14.0,37.5,12.78
13138,2017-12-04,15.0,41.67,22.5
13139,2017-12-04,16.0,35.91,11.0
13140,2017-12-04,17.0,29.5,6.88
13141,2017-12-04,18.0,32.78,5.0
13142,2017-12-04,19.0,35.38,5.0
13143,2017-12-04,20.0,25.0,5.0
13146,2017-12-05,9.0,27.5,15.0
13147,2017-12-05,10.0,50.56,29.0
13148,2017-12-05,11.0,53.89,32.78
13149,2017-12-05,12.0,42.22,30.0
13150,2017-12-05,13.0,56.0,15.0
13151,2017-12-05,14.0,41.36,18.5
13152,2017-12-05,15.0,41.11,11.11
13153,2017-12-05,16.0,43.89,10.56
13154,2017-12-05,17.0,35.56,5.0
13155,2017-12-05,18.0,35.56,6.11
13156,2017-12-05,19.0,31.67,10.56
13157,2017-12-05,20.0,43.33,6.67
13162,2017-12-06,9.0,20.25,15.5
13163,2017-12-06,10.0,51.33,29.44
13164,2017-12-06,11.0,47.5,30.0
13165,2017-12-06,12.0,39.5,35.0
13166,2017-12-06,13.0,49.0,22.5
13167,2017-12-06,14.0,36.11,22.08
13168,2017-12-06,15.0,43.5,15.56
13169,2017-12-06,16.0,38.89,7.78
13170,2017-12-06,17.0,24.44,5.0
13171,2017-12-06,18.0,25.0,5.0
13172,2017-12-06,19.0,21.67,5.0
13173,2017-12-06,20.0,15.0,6.67
13177,2017-12-07,9.0,18.5,19.44
13178,2017-12-07,10.0,45.0,25.0
13179,2017-12-07,11.0,49.44,31.67
13180,2017-12-07,12.0,76.11,29.5
13181,2017-12-07,13.0,42.78,26.11
13182,2017-12-07,14.0,48.89,20.0
13183,2017-12-07,15.0,48.33,11.11
13184,2017-12-07,16.0,45.56,10.71
13185,2017-12-07,17.0,47.73,12.78
13186,2017-12-07,18.0,36.67,7.78
13187,2017-12-07,19.0,37.78,5.0
13188,2017-12-07,20.0,31.36,6.11
13191,2017-12-08,9.0,15.45,20.71
13192,2017-12-08,10.0,51.0,18.5
13193,2017-12-08,11.0,53.75,35.56
13194,2017-12-08,12.0,82.5,32.0
13195,2017-12-08,13.0,118.75,20.0
13196,2017-12-08,14.0,120.56,17.22
13197,2017-12-08,15.0,48.0,11.5
13198,2017-12-08,16.0,45.56,10.0
13199,2017-12-08,17.0,45.0,13.33
13200,2017-12-08,18.0,46.11,8.0
13201,2017-12-08,19.0,39.44,10.0
13202,2017-12-08,20.0,50.56,13.89
13205,2017-12-09,9.0,20.36,17.0
13206,2017-12-09,10.0,51.36,19.55
13207,2017-12-09,11.0,61.67,33.5
13208,2017-12-09,12.0,49.0,33.33
13209,2017-12-09,13.0,50.5,18.89
13210,2017-12-09,14.0,56.67,16.11
13211,2017-12-09,15.0,40.0,18.89
13212,2017-12-09,16.0,56.5,14.0
13213,2017-12-09,17.0,40.5,20.56
13214,2017-12-09,18.0,39.5,9.44
13215,2017-12-09,19.0,36.11,8.89
13216,2017-12-09,20.0,33.33,6.11
13219,2017-12-10,9.0,35.88,14.17
13220,2017-12-10,10.0,67.27,26.36
13221,2017-12-10,11.0,63.33,46.11
13222,2017-12-10,12.0,57.5,31.11
13223,2017-12-10,13.0,47.5,26.67
13224,2017-12-10,14.0,67.5,18.33
13225,2017-12-10,15.0,63.64,24.5
13226,2017-12-10,16.0,62.5,21.25
13227,2017-12-10,17.0,47.73,14.5
13228,2017-12-10,18.0,49.0,12.0
13229,2017-12-10,19.0,42.73,11.67
13230,2017-12-10,20.0,38.64,9.0
13232,2017-12-11,11.0,61.11,45.0
13233,2017-12-11,12.0,95.45,38.5
13234,2017-12-11,13.0,79.55,27.73
13235,2017-12-11,14.0,46.67,17.27
13236,2017-12-11,15.0,41.67,28.89
13237,2017-12-11,16.0,52.22,25.0
13238,2017-12-11,17.0,46.79,11.67
13239,2017-12-11,18.0,48.2,6.43
13240,2017-12-11,19.0,41.0,7.78
13241,2017-12-11,20.0,42.5,7.78
13244,2017-12-12,9.0,27.5,18.0
13245,2017-12-12,10.0,54.29,35.71
13246,2017-12-12,11.0,71.67,40.56
13247,2017-12-12,12.0,56.67,40.0
13248,2017-12-12,13.0,52.78,32.22
13249,2017-12-12,14.0,47.78,20.56
13250,2017-12-12,15.0,45.56,22.0
13251,2017-12-12,16.0,50.0,22.22
13252,2017-12-12,17.0,53.48,22.5
13253,2017-12-12,18.0,50.15,
13254,2017-12-12,19.0,44.44,21.67
13255,2017-12-12,20.0,38.89,16.11
13260,2017-12-13,9.0,18.33,15.0
13261,2017-12-13,10.0,52.92,25.0
13262,2017-12-13,11.0,48.5,38.5
13263,2017-12-13,12.0,44.44,32.78
13264,2017-12-13,13.0,48.89,21.11
13265,2017-12-13,14.0,43.0,21.11
13266,2017-12-13,15.0,85.0,21.25
13267,2017-12-13,16.0,63.89,11.67
13268,2017-12-13,17.0,36.36,13.18
13269,2017-12-13,18.0,32.5,5.0
13270,2017-12-13,19.0,26.54,6.11
13271,2017-12-13,20.0,14.0,5.0
13274,2017-12-14,9.0,18.75,18.5
13275,2017-12-14,10.0,42.27,29.5
13276,2017-12-14,11.0,49.44,36.67
13277,2017-12-14,12.0,51.67,35.56
13278,2017-12-14,13.0,49.38,15.62
13279,2017-12-14,14.0,43.0,18.5
13280,2017-12-14,15.0,62.5,22.5
13281,2017-12-14,16.0,43.18,17.5
13282,2017-12-14,17.0,42.78,12.0
13283,2017-12-14,18.0,45.0,11.5
13284,2017-12-14,19.0,36.88,8.12
13285,2017-12-14,20.0,36.0,8.0
13288,2017-12-15,9.0,20.0,18.75
13289,2017-12-15,10.0,53.33,24.44
13290,2017-12-15,11.0,56.0,35.0
13291,2017-12-15,12.0,54.5,34.44
13292,2017-12-15,13.0,46.25,31.25
13293,2017-12-15,14.0,39.0,18.5
13294,2017-12-15,15.0,61.11,16.67
13295,2017-12-15,16.0,37.5,22.5
13296,2017-12-15,17.0,46.11,15.0
13297,2017-12-15,18.0,35.45,6.5
13298,2017-12-15,19.0,39.44,20.0
13299,2017-12-15,20.0,43.33,21.11
13302,2017-12-16,9.0,40.0,18.89
13303,2017-12-16,10.0,65.0,32.22
13304,2017-12-16,11.0,69.44,46.11
13305,2017-12-16,12.0,74.55,37.0
13306,2017-12-16,13.0,63.0,36.11
13307,2017-12-16,14.0,60.5,29.5
13308,2017-12-16,15.0,69.5,25.0
13309,2017-12-16,16.0,60.62,31.88
13310,2017-12-16,17.0,51.0,28.64
13311,2017-12-16,18.0,64.38,29.38
13312,2017-12-16,19.0,56.5,27.0
13313,2017-12-16,20.0,53.75,28.75
13316,2017-12-17,9.0,46.67,19.0
13317,2017-12-17,10.0,111.0,42.5
13318,2017-12-17,11.0,101.67,45.0
13319,2017-12-17,12.0,75.83,48.33
13320,2017-12-17,13.0,88.33,28.89
13321,2017-12-17,14.0,80.45,32.22
13322,2017-12-17,15.0,63.18,28.5
13323,2017-12-17,16.0,68.75,26.88
13324,2017-12-17,17.0,66.0,25.56
13325,2017-12-17,18.0,73.12,25.62
13326,2017-12-17,19.0,62.92,36.0
13327,2017-12-17,20.0,52.5,21.25
13332,2017-12-18,9.0,27.73,18.75
13333,2017-12-18,10.0,87.5,41.36
13334,2017-12-18,11.0,62.73,48.5
13335,2017-12-18,12.0,61.67,41.0
13336,2017-12-18,13.0,70.0,38.75
13337,2017-12-18,14.0,62.0,34.09
13338,2017-12-18,15.0,59.44,26.11
13339,2017-12-18,16.0,47.22,27.22
13340,2017-12-18,17.0,50.0,28.89
13341,2017-12-18,18.0,46.82,11.67
13342,2017-12-18,19.0,55.45,17.73
13343,2017-12-18,20.0,31.11,6.67
13346,2017-12-19,9.0,37.86,18.89
13347,2017-12-19,10.0,105.0,42.78
13348,2017-12-19,11.0,100.56,50.56
13349,2017-12-19,12.0,72.22,58.89
13350,2017-12-19,13.0,93.12,46.88
13351,2017-12-19,14.0,112.0,24.44
13352,2017-12-19,15.0,79.0,27.0
13353,2017-12-19,16.0,67.78,31.25
13354,2017-12-19,17.0,65.38,36.0
13355,2017-12-19,18.0,73.33,23.5
13356,2017-12-19,19.0,61.36,29.5
13357,2017-12-19,20.0,45.5,31.0
13359,2017-12-20,12.0,65.0,40.0
13360,2017-12-20,13.0,71.11,48.0
13361,2017-12-20,14.0,63.64,17.27
13362,2017-12-20,15.0,58.33,26.67
13363,2017-12-20,16.0,49.5,21.11
13364,2017-12-20,17.0,44.41,21.0
13365,2017-12-20,18.0,43.93,16.5
13366,2017-12-20,19.0,38.64,7.22
13367,2017-12-20,20.0,33.5,7.22
13370,2017-12-21,9.0,48.57,19.55
13371,2017-12-21,10.0,64.5,34.44
13372,2017-12-21,11.0,72.78,51.11
13373,2017-12-21,12.0,68.33,48.33
13374,2017-12-21,13.0,61.67,27.22
13375,2017-12-21,14.0,55.91,23.89
13376,2017-12-21,15.0,70.0,23.33
13377,2017-12-21,16.0,51.11,18.89
13378,2017-12-21,17.0,75.0,16.11
13379,2017-12-21,18.0,53.33,16.67
13380,2017-12-21,19.0,60.56,16.11
13381,2017-12-21,20.0,35.56,16.67
13384,2017-12-22,9.0,30.77,17.86
13385,2017-12-22,10.0,75.0,32.5
13386,2017-12-22,11.0,64.44,47.73
13387,2017-12-22,12.0,67.22,33.33
13388,2017-12-22,13.0,91.11,29.44
13389,2017-12-22,14.0,61.11,20.0
13390,2017-12-22,15.0,68.75,18.12
13391,2017-12-22,16.0,51.0,22.5
13392,2017-12-22,17.0,49.44,21.67
13393,2017-12-22,18.0,43.89,11.67
13394,2017-12-22,19.0,53.75,16.36
13395,2017-12-22,20.0,53.12,13.75
13397,2017-12-23,9.0,32.14,17.22
13398,2017-12-23,10.0,71.36,32.78
13399,2017-12-23,11.0,60.0,51.88
13400,2017-12-23,12.0,52.0,56.36
13401,2017-12-23,13.0,58.89,26.11
13402,2017-12-23,14.0,54.5,28.0
13403,2017-12-23,15.0,59.0,31.67
13404,2017-12-23,16.0,53.33,21.11
13405,2017-12-23,17.0,45.56,24.44
13406,2017-12-23,18.0,48.89,15.56
13407,2017-12-23,19.0,43.33,27.78
13408,2017-12-23,20.0,37.5,11.25
13411,2017-12-24,9.0,43.89,20.0
13412,2017-12-24,10.0,77.22,36.67
13413,2017-12-24,11.0,72.5,52.78
13414,2017-12-24,12.0,75.0,57.78
13415,2017-12-24,13.0,64.5,60.0
13416,2017-12-24,14.0,74.38,32.5
13417,2017-12-24,15.0,67.0,38.0
13418,2017-12-24,16.0,66.25,41.25
13419,2017-12-24,17.0,52.5,31.67
13420,2017-12-24,18.0,47.78,22.22
13421,2017-12-24,19.0,42.22,28.89
13422,2017-12-24,20.0,53.12,19.38
13423,2017-12-24,21.0,27.0,8.5
13426,2017-12-25,9.0,36.5,17.22
13427,2017-12-25,10.0,78.33,41.11
13428,2017-12-25,11.0,79.5,53.0
13429,2017-12-25,12.0,89.55,70.0
13430,2017-12-25,13.0,78.5,60.5
13431,2017-12-25,14.0,78.12,38.12
13432,2017-12-25,15.0,84.0,41.0
13433,2017-12-25,16.0,83.75,32.5
13434,2017-12-25,17.0,85.0,40.5
13435,2017-12-25,18.0,63.89,40.0
13436,2017-12-25,19.0,73.12,27.78
13437,2017-12-25,20.0,66.5,34.0
13438,2017-12-25,21.0,42.78,12.22
13441,2017-12-26,9.0,51.0,5.0
13442,2017-12-26,10.0,96.11,42.14
13443,2017-12-26,11.0,100.0,61.67
13444,2017-12-26,12.0,96.11,60.0
13445,2017-12-26,13.0,116.67,56.11
13446,2017-12-26,14.0,107.78,65.0
13447,2017-12-26,15.0,81.0,48.5
13448,2017-12-26,16.0,98.33,53.33
13449,2017-12-26,17.0,77.78,45.0
13450,2017-12-26,18.0,76.67,47.5
13451,2017-12-26,19.0,70.0,51.11
13452,2017-12-26,20.0,88.33,54.44
13453,2017-12-26,21.0,63.89,35.56
13458,2017-12-27,8.0,36.36,11.11
13459,2017-12-27,9.0,60.56,28.0
13460,2017-12-27,10.0,79.44,49.5
13461,2017-12-27,11.0,102.78,67.78
13462,2017-12-27,12.0,83.75,53.12
13463,2017-12-27,13.0,91.0,52.5
13464,2017-12-27,14.0,90.0,51.11
13465,2017-12-27,15.0,82.78,43.89
13466,2017-12-27,16.0,110.56,41.67
13467,2017-12-27,17.0,72.78,41.11
13468,2017-12-27,18.0,90.0,47.78
13469,2017-12-27,19.0,69.44,37.78
13470,2017-12-27,20.0,66.0,37.22
13471,2017-12-27,21.0,47.5,25.0
13475,2017-12-28,8.0,63.46,13.18
13476,2017-12-28,9.0,72.22,35.62
13477,2017-12-28,10.0,87.78,51.5
13478,2017-12-28,11.0,121.0,71.82
13479,2017-12-28,12.0,88.33,53.75
13480,2017-12-28,13.0,92.5,73.5
13481,2017-12-28,14.0,100.56,45.56
13482,2017-12-28,15.0,112.22,63.89
13483,2017-12-28,16.0,94.38,46.88
13484,2017-12-28,17.0,89.5,50.5
13485,2017-12-28,18.0,65.62,53.12
13486,2017-12-28,19.0,68.5,47.92
13487,2017-12-28,20.0,66.67,23.33
13488,2017-12-28,21.0,47.22,25.56
13490,2017-12-29,8.0,39.44,11.88
13491,2017-12-29,9.0,72.78,40.91
13492,2017-12-29,10.0,86.67,50.0
13493,2017-12-29,11.0,119.0,72.0
13494,2017-12-29,12.0,98.89,61.67
13495,2017-12-29,13.0,90.0,62.5
13496,2017-12-29,14.0,95.0,48.33
13497,2017-12-29,15.0,96.88,43.89
13498,2017-12-29,16.0,90.5,43.64
13499,2017-12-29,17.0,68.33,34.44
13500,2017-12-29,18.0,82.5,33.75
13501,2017-12-29,19.0,63.5,40.0
13502,2017-12-29,20.0,51.25,31.88
13503,2017-12-29,21.0,50.5,31.36
13506,2017-12-30,8.0,22.73,11.11
13507,2017-12-30,9.0,57.78,31.0
13508,2017-12-30,10.0,91.54,50.91
13509,2017-12-30,11.0,93.33,50.0
13510,2017-12-30,12.0,92.78,72.5
13511,2017-12-30,13.0,88.75,54.38
13512,2017-12-30,14.0,86.0,48.0
13513,2017-12-30,15.0,118.18,36.0
13514,2017-12-30,16.0,85.56,41.0
13515,2017-12-30,17.0,80.0,38.12
13516,2017-12-30,18.0,94.5,35.5
13517,2017-12-30,19.0,96.0,32.5
13518,2017-12-30,20.0,64.44,26.11
13519,2017-12-30,21.0,51.5,23.89
13522,2017-12-31,8.0,51.0,11.11
13523,2017-12-31,9.0,120.0,46.25
13524,2017-12-31,10.0,153.33,75.56
13525,2017-12-31,11.0,140.62,100.0
13526,2017-12-31,12.0,168.89,92.22
13527,2017-12-31,13.0,155.0,81.5
13528,2017-12-31,14.0,164.44,77.22
13529,2017-12-31,15.0,204.44,90.0
13530,2017-12-31,16.0,195.45,84.5
13531,2017-12-31,17.0,198.75,91.25
13532,2017-12-31,18.0,181.11,95.0
13533,2017-12-31,19.0,219.5,105.0
13534,2017-12-31,20.0,240.0,105.0
13535,2017-12-31,21.0,165.0,105.0
13536,2017-12-31,22.0,88.5,52.5
13541,2018-01-01,9.0,27.0,13.5
13542,2018-01-01,10.0,61.0,20.0
13543,2018-01-01,11.0,73.18,29.44
13544,2018-01-01,12.0,60.5,50.45
13545,2018-01-01,13.0,77.22,33.33
13546,2018-01-01,14.0,79.38,17.5
13547,2018-01-01,15.0,72.73,27.0
13548,2018-01-01,16.0,83.89,14.44
13549,2018-01-01,17.0,61.25,8.75
13550,2018-01-01,18.0,60.0,6.5
13551,2018-01-01,19.0,47.78,5.56
13552,2018-01-01,20.0,40.56,5.0
13556,2018-01-02,9.0,40.38,23.33
13557,2018-01-02,10.0,64.44,40.56
13558,2018-01-02,11.0,73.33,42.0
13559,2018-01-02,12.0,69.44,46.0
13560,2018-01-02,13.0,71.88,32.5
13561,2018-01-02,14.0,70.0,33.0
13562,2018-01-02,15.0,78.33,31.67
13563,2018-01-02,16.0,86.88,31.25
13564,2018-01-02,17.0,66.82,24.5
13565,2018-01-02,18.0,63.75,28.12
13566,2018-01-02,19.0,58.89,26.67
13567,2018-01-02,20.0,48.0,10.5
13569,2018-01-03,9.0,18.89,13.89
13570,2018-01-03,10.0,40.45,15.56
13571,2018-01-03,11.0,56.5,16.25
13572,2018-01-03,12.0,52.27,20.0
13573,2018-01-03,13.0,49.0,21.0
13574,2018-01-03,14.0,65.91,20.0
13575,2018-01-03,15.0,50.0,20.0
13576,2018-01-03,16.0,49.44,16.11
13577,2018-01-03,17.0,42.5,15.0
13578,2018-01-03,18.0,61.92,13.5
13579,2018-01-03,19.0,42.22,8.89
13580,2018-01-03,20.0,31.0,5.56
13583,2018-01-04,9.0,39.55,21.67
13584,2018-01-04,10.0,80.0,37.22
13585,2018-01-04,11.0,112.0,
13586,2018-01-04,12.0,110.0,
13587,2018-01-04,13.0,100.42,
13588,2018-01-04,14.0,120.0,
13589,2018-01-04,15.0,103.5,
13590,2018-01-04,16.0,88.0,
13591,2018-01-04,17.0,71.11,
13592,2018-01-04,18.0,74.44,28.33
13593,2018-01-04,19.0,56.67,41.36
13594,2018-01-04,20.0,40.0,46.25
13596,2018-01-05,9.0,36.82,17.78
13597,2018-01-05,10.0,76.25,20.83
13598,2018-01-05,11.0,75.45,38.0
13599,2018-01-05,12.0,69.55,45.0
13600,2018-01-05,13.0,86.0,37.14
13601,2018-01-05,14.0,66.82,
13602,2018-01-05,15.0,88.12,27.5
13603,2018-01-05,16.0,68.18,36.0
13604,2018-01-05,17.0,68.5,39.5
13605,2018-01-05,18.0,54.38,23.75
13606,2018-01-05,19.0,61.25,33.5
13607,2018-01-05,20.0,37.22,21.0
13609,2018-01-06,9.0,14.29,17.5
13610,2018-01-06,10.0,55.38,17.78
13611,2018-01-06,11.0,73.33,30.0
13612,2018-01-06,12.0,52.22,33.89
13613,2018-01-06,13.0,67.08,29.09
13614,2018-01-06,14.0,58.0,24.0
13615,2018-01-06,15.0,80.0,32.0
13616,2018-01-06,16.0,62.78,23.0
13617,2018-01-06,17.0,55.56,28.18
13618,2018-01-06,18.0,59.0,20.56
13619,2018-01-06,19.0,44.0,19.44
13620,2018-01-06,20.0,32.22,12.5
13622,2018-01-07,9.0,25.56,11.67
13623,2018-01-07,10.0,63.33,11.11
13624,2018-01-07,11.0,90.56,19.44
13625,2018-01-07,12.0,42.5,11.88
13626,2018-01-07,13.0,42.5,19.0
13627,2018-01-07,14.0,46.11,17.5
13628,2018-01-07,15.0,50.0,13.89
13629,2018-01-07,16.0,50.56,18.33
13630,2018-01-07,17.0,35.56,13.75
13631,2018-01-07,18.0,50.5,16.11
13632,2018-01-07,19.0,35.56,7.78
13633,2018-01-07,20.0,17.5,5.0
13636,2018-01-08,9.0,28.64,12.22
13637,2018-01-08,10.0,50.56,21.25
13638,2018-01-08,11.0,56.82,42.27
13639,2018-01-08,12.0,53.89,36.36
13640,2018-01-08,13.0,51.5,38.64
13641,2018-01-08,14.0,46.67,30.0
13642,2018-01-08,15.0,64.5,28.64
